course_id,course_name,provider,difficulty_level,skills_taught,duration_hours,rating
C0064,Python for Data Analysis,Coursera,Advanced,Machine Learning,18,4.27
C0065,Advanced SQL,Coursera,Advanced,R,18,4.92
C0066,Python for Data Analysis,Coursera,Advanced,Machine Learning,41,4.3
C0067,Python for Data Analysis,Coursera,Advanced,Power BI,33,4.91
C0068,Machine Learning Fundamentals,Udemy,Beginner,Leadership,55,3.61
C0069,Effective Communication,Coursera,Beginner,SQL,38,4.69
C0070,Machine Learning Fundamentals,Coursera,Intermediate,SQL,52,4.44
C0071,Power BI Dashboards,Coursera,Advanced,Machine Learning,10,4.64
C0072,Machine Learning Fundamentals,edX,Intermediate,Communication,47,4.42
C0073,Advanced SQL,edX,Beginner,Machine Learning,16,3.96
C0074,Effective Communication,edX,Intermediate,SQL,28,4.37
C0075,Machine Learning Fundamentals,Coursera,Intermediate,SQL,49,4.86
C0076,Python for Data Analysis,LinkedIn Learning,Advanced,Python,33,3.84
C0077,Machine Learning Fundamentals,Udemy,Beginner,SQL,14,4.9
C0078,Java Programming,LinkedIn Learning,Beginner,Data Visualization,50,3.1
C0079,Advanced SQL,LinkedIn Learning,Intermediate,Leadership,40,3.03
C0080,Power BI Dashboards,LinkedIn Learning,Beginner,SQL,38,3.99
C0081,Effective Communication,LinkedIn Learning,Advanced,Excel,55,4.7
C0082,Excel for Business,Udemy,Intermediate,Machine Learning,36,3.5
C0083,Effective Communication,LinkedIn Learning,Beginner,Machine Learning,36,4.39
C0084,Python for Data Analysis,Coursera,Advanced,Data Visualization,55,4.09
C0085,Advanced SQL,LinkedIn Learning,Beginner,R,19,3.58
C0086,Advanced SQL,Udemy,Advanced,SQL,13,3.57
C0087,Leadership Skills,Udemy,Intermediate,Leadership,40,3.15
C0088,Excel for Business,LinkedIn Learning,Advanced,Python,26,4.07
C0089,Power BI Dashboards,Coursera,Beginner,Machine Learning,17,3.9
C0090,Java Programming,LinkedIn Learning,Intermediate,R,45,3.58
C0091,Python for Data Analysis,edX,Beginner,Java,48,4.94
C0092,Power BI Dashboards,Udemy,Intermediate,Machine Learning,18,4.64
C0093,Java Programming,LinkedIn Learning,Beginner,Machine Learning,30,4.05
C0094,Excel for Business,edX,Intermediate,Machine Learning,48,4.04
C0095,Python for Data Analysis,Coursera,Intermediate,Java,29,3.39
C0096,Machine Learning Fundamentals,edX,Advanced,SQL,26,4.3
C0097,Power BI Dashboards,Udemy,Intermediate,R,34,4.91
C0098,Machine Learning Fundamentals,edX,Intermediate,Data Visualization,17,4.8
C0099,Python for Data Analysis,edX,Advanced,Java,54,3.17
C0100,Excel for Business,edX,Intermediate,SQL,36,3.11
C0101,Java Programming,Coursera,Beginner,Java,41,4.92
C0102,Machine Learning Fundamentals,Coursera,Advanced,Python,23,3.4
C0103,Java Programming,Coursera,Advanced,Machine Learning,39,4.1
C0104,Java Programming,Coursera,Intermediate,Machine Learning,53,3.15
C0105,Machine Learning Fundamentals,LinkedIn Learning,Advanced,R,56,4.69
C0106,Advanced SQL,edX,Beginner,R,33,3.24
C0107,Python for Data Analysis,Udemy,Intermediate,Communication,11,4.29
C0108,Effective Communication,edX,Intermediate,Python,39,3.11
C0109,Excel for Business,LinkedIn Learning,Intermediate,Python,43,3.31
C0110,Java Programming,edX,Beginner,Leadership,10,4.02
C0111,Advanced SQL,edX,Beginner,Power BI,18,3.09
C0112,Power BI Dashboards,Udemy,Beginner,R,32,3.39
C0113,Excel for Business,Udemy,Advanced,Excel,5,3.27
C0114,Leadership Skills,Udemy,Advanced,Machine Learning,50,3.08
C0115,Advanced SQL,edX,Intermediate,R,25,4.94
C0116,Leadership Skills,LinkedIn Learning,Intermediate,Power BI,31,3.9
C0117,Power BI Dashboards,Coursera,Intermediate,Communication,26,4.72
C0118,Leadership Skills,Coursera,Advanced,Communication,15,3.72
C0119,Excel for Business,edX,Beginner,Communication,13,3.09
C0120,Advanced SQL,Coursera,Beginner,SQL,14,4.39
C0121,Excel for Business,Coursera,Intermediate,SQL,58,3.08
C0122,Machine Learning Fundamentals,edX,Beginner,Python,47,4.11
C0123,Java Programming,edX,Advanced,Python,54,3.28
C0124,Advanced SQL,LinkedIn Learning,Beginner,Power BI,53,4.34
C0125,Machine Learning Fundamentals,Coursera,Intermediate,Excel,50,4.79
C0126,Advanced SQL,edX,Intermediate,Power BI,53,4.91
C0127,Machine Learning Fundamentals,Coursera,Beginner,Machine Learning,43,4.06
C0128,Leadership Skills,Udemy,Intermediate,Python,35,4.07
C0129,Python for Data Analysis,Udemy,Intermediate,Java,36,3.08
C0130,Machine Learning Fundamentals,LinkedIn Learning,Advanced,Java,35,4.54
C0131,Python for Data Analysis,edX,Advanced,Leadership,12,4.91
C0132,Java Programming,Coursera,Beginner,Power BI,44,3.88
C0133,Effective Communication,Udemy,Intermediate,Java,55,4.59
C0134,Excel for Business,edX,Beginner,R,9,4.59
C0135,Leadership Skills,Udemy,Advanced,Communication,35,4.57
C0136,Power BI Dashboards,Udemy,Advanced,Machine Learning,11,4.52
C0137,Power BI Dashboards,edX,Advanced,Data Visualization,49,3.43
C0138,Power BI Dashboards,Udemy,Beginner,Java,51,4.5
C0139,Python for Data Analysis,edX,Advanced,Communication,18,3.29
C0140,Power BI Dashboards,LinkedIn Learning,Intermediate,Power BI,29,4.43
C0141,Power BI Dashboards,edX,Advanced,Java,25,3.01
C0142,Machine Learning Fundamentals,Udemy,Beginner,Excel,51,4.84
C0143,Effective Communication,Udemy,Advanced,Machine Learning,33,4.65
C0144,Java Programming,Coursera,Beginner,R,50,4.37
C0145,Power BI Dashboards,LinkedIn Learning,Intermediate,Machine Learning,49,3.19
C0146,Python for Data Analysis,Udemy,Advanced,R,35,4.65
C0147,Machine Learning Fundamentals,LinkedIn Learning,Beginner,Java,56,4.75
C0148,Python for Data Analysis,Coursera,Intermediate,R,8,4.38
C0149,Advanced SQL,LinkedIn Learning,Intermediate,Data Visualization,58,4.95
C0150,Power BI Dashboards,edX,Advanced,R,45,3.19
C0151,Java Programming,LinkedIn Learning,Intermediate,Java,50,4.42
C0152,Python for Data Analysis,Udemy,Intermediate,R,33,4.05
C0153,Python for Data Analysis,Udemy,Beginner,Leadership,53,3.29
C0154,Java Programming,edX,Beginner,Leadership,5,4.32
C0155,Java Programming,Udemy,Beginner,Power BI,36,4.6
C0156,Java Programming,Coursera,Advanced,Python,5,3.33
C0157,Machine Learning Fundamentals,Udemy,Intermediate,Leadership,8,4.59
C0158,Advanced SQL,Coursera,Advanced,Java,24,3.19
C0159,Advanced SQL,LinkedIn Learning,Advanced,R,44,4.18
C0160,Power BI Dashboards,LinkedIn Learning,Beginner,Python,41,4.6
C0161,Leadership Skills,Udemy,Intermediate,R,18,3.29
C0162,Effective Communication,Udemy,Advanced,Leadership,56,4.14
C0163,Excel for Business,edX,Advanced,Leadership,59,3.85
C0164,Excel for Business,LinkedIn Learning,Advanced,Excel,18,4.21
C0165,Java Programming,Coursera,Advanced,Python,58,3.85
C0166,Machine Learning Fundamentals,edX,Beginner,Leadership,6,3.5
C0167,Leadership Skills,edX,Advanced,Data Visualization,25,3.51
C0168,Power BI Dashboards,LinkedIn Learning,Beginner,Java,33,4.73
C0169,Machine Learning Fundamentals,edX,Intermediate,Machine Learning,16,3.31
C0170,Effective Communication,Coursera,Advanced,Leadership,22,3.25
C0171,Power BI Dashboards,edX,Beginner,R,42,3.19
C0172,Advanced SQL,Coursera,Beginner,Java,45,3.15
C0173,Java Programming,Coursera,Advanced,Communication,36,3.03
C0174,Excel for Business,Udemy,Beginner,Power BI,45,3.32
C0175,Python for Data Analysis,LinkedIn Learning,Advanced,Power BI,26,3.39
C0176,Excel for Business,LinkedIn Learning,Beginner,Power BI,40,3.54
C0177,Power BI Dashboards,LinkedIn Learning,Beginner,SQL,46,3.25
C0178,Java Programming,LinkedIn Learning,Intermediate,Data Visualization,16,3.19
C0179,Leadership Skills,Coursera,Advanced,Data Visualization,25,4.08
C0180,Java Programming,LinkedIn Learning,Intermediate,Leadership,12,4.44
C0181,Effective Communication,LinkedIn Learning,Beginner,Java,32,4.26
C0182,Excel for Business,Coursera,Advanced,Leadership,57,4.11
C0183,Python for Data Analysis,Udemy,Intermediate,Data Visualization,26,3.88
C0184,Advanced SQL,LinkedIn Learning,Advanced,Java,56,4.27
C0185,Advanced SQL,edX,Advanced,R,20,4.8
C0186,Power BI Dashboards,Udemy,Intermediate,Java,16,4.25
C0187,Excel for Business,Udemy,Intermediate,Communication,53,3.12
C0188,Power BI Dashboards,Udemy,Intermediate,Power BI,21,4.14
C0189,Excel for Business,LinkedIn Learning,Beginner,Communication,25,4.05
C0190,Leadership Skills,Coursera,Intermediate,Python,55,3.9
C0191,Machine Learning Fundamentals,LinkedIn Learning,Intermediate,Communication,11,4.14
C0192,Power BI Dashboards,LinkedIn Learning,Beginner,Machine Learning,24,4.35
C0193,Excel for Business,Udemy,Intermediate,R,40,3.07
C0194,Machine Learning Fundamentals,Coursera,Advanced,R,56,3.96
C0195,Leadership Skills,LinkedIn Learning,Advanced,Data Visualization,58,4.63
C0196,Power BI Dashboards,LinkedIn Learning,Advanced,Excel,45,4.06
C0197,Leadership Skills,LinkedIn Learning,Beginner,Java,48,3.14
C0198,Advanced SQL,LinkedIn Learning,Intermediate,Java,17,4.55
C0199,Java Programming,Coursera,Advanced,R,45,4.88
C0200,Effective Communication,Coursera,Beginner,Python,33,4.7
C0201,Machine Learning Fundamentals,Coursera,Beginner,Communication,47,3.73
C0202,Leadership Skills,edX,Beginner,Communication,41,4.07
C0203,Power BI Dashboards,Coursera,Beginner,Leadership,12,4.18
C0204,Python for Data Analysis,Coursera,Beginner,Java,24,4.43
C0205,Effective Communication,Udemy,Advanced,Leadership,48,4.33
C0206,Advanced SQL,LinkedIn Learning,Beginner,Machine Learning,52,3.4
C0207,Effective Communication,LinkedIn Learning,Intermediate,Power BI,14,4.69
C0208,Effective Communication,Udemy,Advanced,R,19,4.7
C0209,Machine Learning Fundamentals,Coursera,Beginner,SQL,16,3.81
C0210,Excel for Business,LinkedIn Learning,Advanced,Machine Learning,50,3.26
C0211,Python for Data Analysis,edX,Advanced,Data Visualization,49,4.22
C0212,Excel for Business,edX,Intermediate,Machine Learning,20,3.71
C0213,Java Programming,Udemy,Beginner,Power BI,46,4.48
C0214,Effective Communication,edX,Intermediate,Excel,12,3.63
C0215,Python for Data Analysis,Udemy,Beginner,Excel,24,3.53
C0216,Power BI Dashboards,edX,Beginner,SQL,18,4.74
C0217,Leadership Skills,edX,Advanced,Excel,41,4.23
C0218,Java Programming,edX,Beginner,Power BI,30,3.17
C0219,Power BI Dashboards,Udemy,Advanced,Data Visualization,42,4.38
C0220,Excel for Business,LinkedIn Learning,Intermediate,Power BI,57,4.51
C0221,Java Programming,Udemy,Beginner,Data Visualization,45,3.47
C0222,Effective Communication,Coursera,Beginner,Leadership,49,4.94
C0223,Excel for Business,Coursera,Intermediate,Power BI,33,3.75
C0224,Excel for Business,edX,Intermediate,R,17,4.88
C0225,Machine Learning Fundamentals,edX,Advanced,Java,38,3.59
C0226,Java Programming,LinkedIn Learning,Intermediate,Python,26,4.22
C0227,Effective Communication,LinkedIn Learning,Beginner,Data Visualization,49,4.04
C0228,Advanced SQL,LinkedIn Learning,Advanced,Python,30,4.98
C0229,Excel for Business,edX,Intermediate,Machine Learning,38,3.82
C0230,Power BI Dashboards,Udemy,Beginner,Power BI,51,3.36
C0231,Leadership Skills,edX,Beginner,Data Visualization,28,4.67
C0232,Effective Communication,Coursera,Beginner,Machine Learning,25,3.08
C0233,Effective Communication,edX,Intermediate,R,35,4.77
C0234,Effective Communication,LinkedIn Learning,Advanced,Data Visualization,16,3.22
C0235,Leadership Skills,Coursera,Intermediate,Communication,46,4.14
C0236,Power BI Dashboards,edX,Advanced,Java,28,4.43
C0237,Java Programming,LinkedIn Learning,Intermediate,SQL,25,3.67
C0238,Excel for Business,edX,Beginner,Java,8,4.69
C0239,Effective Communication,edX,Intermediate,Java,29,4.19
C0240,Java Programming,LinkedIn Learning,Advanced,SQL,12,3.79
C0241,Effective Communication,Coursera,Intermediate,Leadership,40,3.65
C0242,Leadership Skills,Coursera,Advanced,Java,38,3.22
C0243,Java Programming,Udemy,Intermediate,Leadership,54,4.28
C0244,Java Programming,Coursera,Advanced,Machine Learning,54,3.73
C0245,Excel for Business,edX,Beginner,Excel,50,3.64
C0246,Leadership Skills,LinkedIn Learning,Beginner,Excel,31,4.9
C0247,Power BI Dashboards,Coursera,Advanced,Java,32,3.55
C0248,Machine Learning Fundamentals,edX,Beginner,Power BI,33,4.75
C0249,Effective Communication,edX,Advanced,Data Visualization,33,4.95
C0250,Python for Data Analysis,Coursera,Advanced,Java,14,4.65
C0251,Power BI Dashboards,LinkedIn Learning,Beginner,Data Visualization,48,3.04
C0252,Python for Data Analysis,LinkedIn Learning,Intermediate,Machine Learning,36,4.74
C0253,Excel for Business,Udemy,Advanced,Excel,12,3.43
C0254,Advanced SQL,LinkedIn Learning,Intermediate,Data Visualization,58,3.71
C0255,Excel for Business,LinkedIn Learning,Intermediate,SQL,21,4.98
C0256,Leadership Skills,Coursera,Beginner,Python,16,3.81
C0257,Excel for Business,Coursera,Advanced,Power BI,30,4.31
C0258,Excel for Business,edX,Intermediate,Java,56,3.62
C0259,Effective Communication,Coursera,Intermediate,Power BI,7,3.74
C0260,Power BI Dashboards,Udemy,Beginner,Java,46,4.2
C0261,Power BI Dashboards,edX,Beginner,Java,15,4.9
C0262,Advanced SQL,LinkedIn Learning,Intermediate,Python,18,3.56
C0263,Leadership Skills,Coursera,Intermediate,Machine Learning,11,3.49
C0264,Python for Data Analysis,Udemy,Beginner,Data Visualization,30,3.05
C0265,Java Programming,edX,Beginner,Java,41,3.4
C0266,Leadership Skills,Udemy,Beginner,Java,37,3.52
C0267,Python for Data Analysis,Udemy,Advanced,Python,48,3.13
C0268,Python for Data Analysis,LinkedIn Learning,Beginner,Java,52,4.13
C0269,Excel for Business,edX,Beginner,R,36,3.25
C0270,Advanced SQL,Coursera,Beginner,Machine Learning,42,4.02
C0271,Excel for Business,LinkedIn Learning,Advanced,Leadership,24,3.38
C0272,Advanced SQL,Udemy,Advanced,Machine Learning,14,4.87
C0273,Machine Learning Fundamentals,edX,Beginner,Communication,19,3.61
C0274,Power BI Dashboards,LinkedIn Learning,Beginner,Python,19,3.19
C0275,Effective Communication,Coursera,Advanced,SQL,10,4.67
C0276,Effective Communication,Udemy,Advanced,Data Visualization,59,3.8
C0277,Effective Communication,edX,Intermediate,SQL,29,4.64
C0278,Java Programming,LinkedIn Learning,Advanced,R,5,3.62
C0279,Excel for Business,LinkedIn Learning,Advanced,Machine Learning,10,4.0
C0280,Machine Learning Fundamentals,Udemy,Beginner,Excel,17,3.89
C0281,Python for Data Analysis,LinkedIn Learning,Beginner,Excel,15,4.12
C0282,Effective Communication,Coursera,Beginner,Data Visualization,28,3.8
C0283,Machine Learning Fundamentals,Coursera,Advanced,Data Visualization,24,3.99
C0284,Effective Communication,Coursera,Intermediate,SQL,30,4.36
C0285,Power BI Dashboards,edX,Beginner,Leadership,29,3.83
C0286,Effective Communication,LinkedIn Learning,Intermediate,Python,56,4.37
C0287,Power BI Dashboards,Coursera,Intermediate,Python,56,4.43
C0288,Effective Communication,Coursera,Advanced,Data Visualization,16,4.5
C0289,Effective Communication,edX,Advanced,Excel,50,3.94
C0290,Power BI Dashboards,LinkedIn Learning,Beginner,Python,13,3.01
C0291,Leadership Skills,Coursera,Advanced,Excel,49,4.51
C0292,Java Programming,Coursera,Intermediate,R,40,4.82
C0293,Effective Communication,Coursera,Advanced,Leadership,13,4.31
C0294,Machine Learning Fundamentals,edX,Advanced,R,37,4.05
C0295,Leadership Skills,LinkedIn Learning,Intermediate,Leadership,44,4.12
C0296,Python for Data Analysis,Coursera,Advanced,R,38,4.28
C0297,Excel for Business,Udemy,Advanced,Excel,28,5.0
C0298,Effective Communication,edX,Beginner,Leadership,57,3.12
C0299,Leadership Skills,Udemy,Intermediate,Machine Learning,49,3.04
C0300,Python for Data Analysis,LinkedIn Learning,Advanced,SQL,49,4.93
C0301,Java Programming,edX,Intermediate,Machine Learning,37,3.88
C0302,Leadership Skills,edX,Advanced,Excel,37,4.22
C0303,Leadership Skills,edX,Beginner,SQL,33,4.51
C0304,Advanced SQL,LinkedIn Learning,Advanced,Communication,42,4.48
C0305,Advanced SQL,Udemy,Advanced,Communication,52,4.29
C0306,Excel for Business,Coursera,Intermediate,SQL,53,3.94
C0307,Effective Communication,LinkedIn Learning,Advanced,Excel,17,4.15
C0308,Effective Communication,Coursera,Intermediate,Java,22,4.46
C0309,Power BI Dashboards,Coursera,Beginner,Communication,39,4.7
C0310,Excel for Business,Coursera,Intermediate,Java,51,3.25
C0311,Machine Learning Fundamentals,edX,Advanced,Data Visualization,6,3.56
C0312,Java Programming,edX,Intermediate,Power BI,29,3.8
C0313,Effective Communication,Udemy,Beginner,Power BI,10,4.33
C0314,Power BI Dashboards,LinkedIn Learning,Advanced,Machine Learning,29,3.79
C0315,Excel for Business,Coursera,Beginner,Data Visualization,57,3.48
C0316,Excel for Business,LinkedIn Learning,Beginner,Communication,24,3.07
C0317,Leadership Skills,LinkedIn Learning,Advanced,Communication,18,4.69
C0318,Machine Learning Fundamentals,LinkedIn Learning,Advanced,R,54,3.84
C0319,Machine Learning Fundamentals,edX,Intermediate,Machine Learning,8,3.66
C0320,Python for Data Analysis,Coursera,Advanced,Excel,12,4.06
C0321,Advanced SQL,Coursera,Intermediate,Power BI,38,3.25
C0322,Excel for Business,LinkedIn Learning,Beginner,R,32,3.79
C0323,Leadership Skills,Udemy,Intermediate,Machine Learning,6,4.5
C0324,Python for Data Analysis,edX,Advanced,Java,21,4.47
C0325,Power BI Dashboards,LinkedIn Learning,Intermediate,Leadership,8,4.54
C0326,Power BI Dashboards,LinkedIn Learning,Advanced,Python,59,3.93
C0327,Advanced SQL,Coursera,Beginner,Python,52,3.74
C0328,Power BI Dashboards,Udemy,Intermediate,Data Visualization,38,4.66
C0329,Advanced SQL,LinkedIn Learning,Intermediate,Leadership,31,3.35
C0330,Power BI Dashboards,Udemy,Intermediate,SQL,23,4.45
C0331,Java Programming,Coursera,Intermediate,R,32,4.78
C0332,Power BI Dashboards,Coursera,Beginner,Data Visualization,42,3.57
C0333,Excel for Business,LinkedIn Learning,Advanced,R,38,3.4
C0334,Machine Learning Fundamentals,Udemy,Intermediate,SQL,36,4.03
C0335,Excel for Business,LinkedIn Learning,Beginner,R,45,3.43
C0336,Python for Data Analysis,LinkedIn Learning,Advanced,R,35,4.74
C0337,Java Programming,LinkedIn Learning,Beginner,Data Visualization,10,3.49
C0338,Machine Learning Fundamentals,LinkedIn Learning,Intermediate,Machine Learning,10,3.63
C0339,Excel for Business,Udemy,Intermediate,Communication,32,4.78
C0340,Machine Learning Fundamentals,LinkedIn Learning,Beginner,Data Visualization,12,3.41
C0341,Machine Learning Fundamentals,Coursera,Intermediate,SQL,5,4.77
C0342,Machine Learning Fundamentals,Coursera,Intermediate,Machine Learning,20,3.42
C0343,Power BI Dashboards,Udemy,Beginner,R,46,4.82
C0344,Machine Learning Fundamentals,LinkedIn Learning,Advanced,Excel,23,3.64
C0345,Java Programming,LinkedIn Learning,Beginner,Excel,22,3.49
C0346,Power BI Dashboards,edX,Beginner,Power BI,34,3.95
C0347,Effective Communication,LinkedIn Learning,Intermediate,Data Visualization,20,3.74
C0348,Machine Learning Fundamentals,Udemy,Advanced,Power BI,37,3.4
C0349,Power BI Dashboards,Udemy,Intermediate,Python,32,3.68
C0350,Machine Learning Fundamentals,edX,Beginner,SQL,51,4.43
C0351,Python for Data Analysis,Coursera,Advanced,Machine Learning,20,4.66
C0352,Excel for Business,Udemy,Advanced,Communication,15,4.64
C0353,Effective Communication,LinkedIn Learning,Intermediate,Data Visualization,10,4.51
C0354,Machine Learning Fundamentals,LinkedIn Learning,Advanced,Power BI,18,3.01
C0355,Python for Data Analysis,Coursera,Beginner,Data Visualization,52,3.85
C0356,Java Programming,edX,Advanced,R,40,3.34
C0357,Java Programming,Udemy,Beginner,SQL,26,3.15
C0358,Excel for Business,LinkedIn Learning,Beginner,Java,44,4.47
C0359,Advanced SQL,Coursera,Beginner,Power BI,27,4.59
C0360,Effective Communication,Coursera,Intermediate,R,35,4.63
C0361,Effective Communication,Coursera,Intermediate,Power BI,32,4.78
C0362,Machine Learning Fundamentals,LinkedIn Learning,Intermediate,SQL,23,4.18
C0363,Advanced SQL,Coursera,Advanced,Machine Learning,55,5.0
C0364,Excel for Business,Coursera,Advanced,R,26,3.97
C0365,Excel for Business,Coursera,Advanced,Leadership,5,4.77
C0366,Machine Learning Fundamentals,Udemy,Intermediate,Python,7,3.23
C0367,Python for Data Analysis,LinkedIn Learning,Beginner,R,12,3.3
C0368,Machine Learning Fundamentals,Udemy,Beginner,Machine Learning,17,4.18
C0369,Java Programming,edX,Intermediate,R,55,3.25
C0370,Python for Data Analysis,Coursera,Beginner,SQL,5,3.15
C0371,Leadership Skills,LinkedIn Learning,Beginner,Leadership,33,3.39
C0372,Machine Learning Fundamentals,edX,Intermediate,Java,17,4.58
C0373,Java Programming,Udemy,Beginner,Java,46,4.85
C0374,Python for Data Analysis,edX,Intermediate,Communication,33,3.67
C0375,Java Programming,Udemy,Advanced,Leadership,34,4.95
C0376,Java Programming,LinkedIn Learning,Beginner,Leadership,20,4.62
C0377,Power BI Dashboards,Udemy,Intermediate,Excel,45,3.45
C0378,Python for Data Analysis,edX,Advanced,SQL,38,4.17
C0379,Python for Data Analysis,Udemy,Beginner,Communication,59,4.96
C0380,Excel for Business,Udemy,Advanced,Power BI,44,4.7
C0381,Advanced SQL,edX,Beginner,Java,7,3.73
C0382,Machine Learning Fundamentals,edX,Advanced,Communication,33,3.61
C0383,Excel for Business,Coursera,Advanced,R,34,4.64
C0384,Advanced SQL,edX,Beginner,Leadership,59,4.1
C0385,Excel for Business,Udemy,Intermediate,Python,56,3.33
C0386,Effective Communication,LinkedIn Learning,Advanced,SQL,38,3.66
C0387,Excel for Business,LinkedIn Learning,Intermediate,Java,8,4.32
C0388,Machine Learning Fundamentals,Coursera,Advanced,Data Visualization,52,3.31
C0389,Effective Communication,Udemy,Advanced,Java,12,4.4
C0390,Power BI Dashboards,edX,Beginner,SQL,51,4.42
C0391,Excel for Business,Udemy,Advanced,Leadership,52,3.54
C0392,Machine Learning Fundamentals,edX,Advanced,Java,22,3.8
C0393,Python for Data Analysis,edX,Intermediate,Power BI,26,4.87
C0394,Advanced SQL,edX,Intermediate,Excel,14,4.5
C0395,Leadership Skills,Coursera,Intermediate,Data Visualization,55,4.58
C0396,Machine Learning Fundamentals,edX,Beginner,R,18,4.03
C0397,Power BI Dashboards,Udemy,Intermediate,SQL,55,3.43
C0398,Leadership Skills,Coursera,Beginner,Excel,58,4.18
C0399,Machine Learning Fundamentals,Coursera,Beginner,Java,50,4.54
C0400,Machine Learning Fundamentals,LinkedIn Learning,Intermediate,SQL,35,3.01
C0401,Java Programming,Coursera,Advanced,Communication,39,3.23
C0402,Python for Data Analysis,Udemy,Advanced,Data Visualization,50,3.95
C0403,Advanced SQL,LinkedIn Learning,Intermediate,Java,6,3.87
C0404,Leadership Skills,edX,Advanced,Leadership,6,4.96
C0405,Effective Communication,LinkedIn Learning,Beginner,Power BI,39,3.18
