jid,title,location,proj_quals,job_desc,start_date,end_date
J0017,Data Scientist,Ho Chi Minh,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,4/3/2025,8/19/2025
J0018,Marketing Specialist,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,2/15/2025,7/18/2025
J0019,Marketing Specialist,Da Nang,"Python, SQL, Power BI",Develop predictive models and report insights.,3/27/2025,8/12/2025
J0020,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,3/8/2025,9/8/2025
J0021,Marketing Specialist,Ho Chi Minh,"Java, SQL, Communication",Manage project timelines and coordinate teams.,3/9/2025,7/30/2025
J0022,Software Engineer,Hanoi,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,4/1/2025,6/1/2025
J0023,Software Engineer,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,4/9/2025,8/2/2025
J0024,Marketing Specialist,Da Nang,"Python, SQL, Power BI",Develop predictive models and report insights.,4/1/2025,8/26/2025
J0025,Data Analyst,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,2/12/2025,8/3/2025
J0026,Data Scientist,Hanoi,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,3/10/2025,8/2/2025
J0027,Data Analyst,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,3/25/2025,6/13/2025
J0028,Software Engineer,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/14/2025,6/29/2025
J0029,Marketing Specialist,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,3/4/2025,7/2/2025
J0030,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Analyze data and visualize results.,1/5/2025,8/7/2025
J0031,Project Manager,Ho Chi Minh,"Python, SQL, Power BI",Analyze data and visualize results.,1/16/2025,7/4/2025
J0032,Data Analyst,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,1/17/2025,7/13/2025
J0033,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,2/3/2025,8/7/2025
J0034,Data Analyst,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,4/8/2025,8/5/2025
J0035,Software Engineer,Ho Chi Minh,"Python, SQL, Power BI",Develop backend systems and maintain performance.,3/12/2025,8/8/2025
J0036,Software Engineer,Hanoi,"Java, SQL, Communication",Manage project timelines and coordinate teams.,3/29/2025,7/28/2025
J0037,Marketing Specialist,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,4/8/2025,6/3/2025
J0038,Software Engineer,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,1/15/2025,8/3/2025
J0039,Marketing Specialist,Da Nang,"Python, SQL, Power BI",Develop predictive models and report insights.,3/5/2025,8/28/2025
J0040,Marketing Specialist,Hanoi,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,3/4/2025,7/11/2025
J0041,Data Analyst,Ho Chi Minh,"Java, SQL, Communication",Analyze data and visualize results.,1/15/2025,7/22/2025
J0042,Project Manager,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,2/3/2025,8/1/2025
J0043,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,2/23/2025,6/1/2025
J0044,Software Engineer,Ho Chi Minh,"Leadership, Project Planning, Excel",Analyze data and visualize results.,3/19/2025,9/1/2025
J0045,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/15/2025,6/13/2025
J0046,Software Engineer,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,2/26/2025,6/28/2025
J0047,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Develop predictive models and report insights.,2/22/2025,8/27/2025
J0048,Software Engineer,Hanoi,"Leadership, Project Planning, Excel",Analyze data and visualize results.,2/1/2025,7/29/2025
J0049,Project Manager,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,4/10/2025,8/15/2025
J0050,Data Scientist,Hanoi,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,1/30/2025,8/30/2025
J0051,Data Scientist,Ho Chi Minh,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,2/4/2025,8/8/2025
J0052,Marketing Specialist,Da Nang,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,3/15/2025,7/2/2025
J0053,Software Engineer,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,1/2/2025,8/25/2025
J0054,Marketing Specialist,Ho Chi Minh,"Python, SQL, Power BI",Develop predictive models and report insights.,4/8/2025,7/9/2025
J0055,Data Analyst,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,1/6/2025,8/24/2025
J0056,Data Analyst,Da Nang,"Java, SQL, Communication",Develop backend systems and maintain performance.,3/25/2025,7/1/2025
J0057,Data Analyst,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,2/25/2025,6/10/2025
J0058,Data Analyst,Da Nang,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,2/24/2025,7/28/2025
J0059,Data Analyst,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,2/15/2025,6/30/2025
J0060,Software Engineer,Hanoi,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,3/8/2025,7/2/2025
J0061,Marketing Specialist,Da Nang,"Python, SQL, Power BI",Analyze data and visualize results.,1/17/2025,7/24/2025
J0062,Marketing Specialist,Ho Chi Minh,"Leadership, Project Planning, Excel",Analyze data and visualize results.,3/2/2025,9/5/2025
J0063,Project Manager,Hanoi,"Python, SQL, Power BI",Develop predictive models and report insights.,3/16/2025,7/14/2025
J0064,Data Analyst,Da Nang,"Python, SQL, Power BI",Analyze data and visualize results.,2/5/2025,9/2/2025
J0065,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,3/17/2025,9/3/2025
J0066,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,3/19/2025,6/12/2025
J0067,Project Manager,Hanoi,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,3/5/2025,8/29/2025
J0068,Software Engineer,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,3/5/2025,8/28/2025
J0069,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/24/2025,8/17/2025
J0070,Data Scientist,Da Nang,"Python, SQL, Power BI",Design and execute marketing campaigns.,3/3/2025,7/12/2025
J0071,Marketing Specialist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,4/9/2025,7/26/2025
J0072,Project Manager,Ho Chi Minh,"Java, SQL, Communication",Develop predictive models and report insights.,1/13/2025,7/3/2025
J0073,Software Engineer,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,4/2/2025,7/7/2025
J0074,Data Analyst,Da Nang,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,2/18/2025,7/23/2025
J0075,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,1/2/2025,7/9/2025
J0076,Data Analyst,Ho Chi Minh,"Python, SQL, Power BI",Develop predictive models and report insights.,1/20/2025,9/6/2025
J0077,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,1/2/2025,8/31/2025
J0078,Marketing Specialist,Da Nang,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,2/1/2025,7/28/2025
J0079,Software Engineer,Hanoi,"Python, SQL, Power BI",Develop predictive models and report insights.,1/9/2025,6/25/2025
J0080,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,1/29/2025,7/8/2025
J0081,Marketing Specialist,Hanoi,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,2/6/2025,8/17/2025
J0082,Data Scientist,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,2/9/2025,6/28/2025
J0083,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,4/7/2025,8/12/2025
J0084,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,1/13/2025,6/3/2025
J0085,Project Manager,Hanoi,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,3/2/2025,8/1/2025
J0086,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,3/22/2025,7/1/2025
J0087,Project Manager,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,2/18/2025,8/3/2025
J0088,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,1/2/2025,8/14/2025
J0089,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,1/21/2025,8/22/2025
J0090,Data Analyst,Ho Chi Minh,"Java, SQL, Communication",Develop backend systems and maintain performance.,1/16/2025,8/3/2025
J0091,Project Manager,Ho Chi Minh,"Python, SQL, Power BI",Design and execute marketing campaigns.,4/11/2025,9/5/2025
J0092,Data Scientist,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,3/18/2025,6/13/2025
J0093,Data Scientist,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,1/27/2025,6/10/2025
J0094,Software Engineer,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,3/14/2025,7/27/2025
J0095,Data Analyst,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,2/6/2025,8/20/2025
J0096,Software Engineer,Da Nang,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,1/13/2025,8/8/2025
J0097,Project Manager,Hanoi,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/10/2025,7/24/2025
J0098,Project Manager,Da Nang,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,1/5/2025,8/22/2025
J0099,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,3/22/2025,6/30/2025
J0100,Marketing Specialist,Ho Chi Minh,"Java, SQL, Communication",Analyze data and visualize results.,3/26/2025,7/11/2025
J0101,Software Engineer,Hanoi,"Leadership, Project Planning, Excel",Analyze data and visualize results.,3/15/2025,7/4/2025
J0102,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,2/22/2025,8/14/2025
J0103,Data Scientist,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,1/7/2025,8/21/2025
J0104,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Analyze data and visualize results.,4/5/2025,7/21/2025
J0105,Software Engineer,Da Nang,"Java, SQL, Communication",Develop backend systems and maintain performance.,2/5/2025,8/8/2025
J0106,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,1/12/2025,8/15/2025
J0107,Data Analyst,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,1/22/2025,6/10/2025
J0108,Marketing Specialist,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,1/1/2025,7/10/2025
J0109,Software Engineer,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,1/27/2025,9/6/2025
J0110,Software Engineer,Da Nang,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,2/7/2025,7/11/2025
J0111,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,3/24/2025,8/19/2025
J0112,Data Scientist,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,4/7/2025,8/26/2025
J0113,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Develop predictive models and report insights.,2/4/2025,7/17/2025
J0114,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/22/2025,7/17/2025
J0115,Software Engineer,Ho Chi Minh,"Leadership, Project Planning, Excel",Analyze data and visualize results.,2/24/2025,8/12/2025
J0116,Data Analyst,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/22/2025,7/11/2025
J0117,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/4/2025,8/29/2025
J0118,Data Analyst,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,1/26/2025,8/6/2025
J0119,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,1/23/2025,8/2/2025
J0120,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,2/14/2025,7/12/2025
J0121,Data Scientist,Da Nang,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,2/1/2025,9/9/2025
J0122,Software Engineer,Hanoi,"Java, SQL, Communication",Manage project timelines and coordinate teams.,2/18/2025,7/11/2025
J0123,Project Manager,Da Nang,"Java, SQL, Communication",Develop backend systems and maintain performance.,1/30/2025,8/7/2025
J0124,Marketing Specialist,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,2/25/2025,8/10/2025
J0125,Marketing Specialist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,4/3/2025,8/8/2025
J0126,Data Analyst,Hanoi,"Python, SQL, Power BI",Analyze data and visualize results.,3/31/2025,8/1/2025
J0127,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,1/24/2025,8/18/2025
J0128,Marketing Specialist,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,3/1/2025,8/13/2025
J0129,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,3/27/2025,6/7/2025
J0130,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,3/26/2025,8/15/2025
J0131,Data Scientist,Hanoi,"Java, SQL, Communication",Develop predictive models and report insights.,3/25/2025,7/9/2025
J0132,Project Manager,Da Nang,"Python, SQL, Power BI",Analyze data and visualize results.,2/23/2025,7/7/2025
J0133,Software Engineer,Hanoi,"Python, SQL, Power BI",Analyze data and visualize results.,1/19/2025,7/17/2025
J0134,Marketing Specialist,Da Nang,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,4/4/2025,8/2/2025
J0135,Marketing Specialist,Hanoi,"Java, SQL, Communication",Manage project timelines and coordinate teams.,1/3/2025,7/22/2025
J0136,Data Scientist,Hanoi,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,3/2/2025,7/6/2025
J0137,Data Analyst,Da Nang,"Python, SQL, Power BI",Develop backend systems and maintain performance.,1/4/2025,8/14/2025
J0138,Marketing Specialist,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,1/29/2025,6/11/2025
J0139,Data Scientist,Hanoi,"Java, SQL, Communication",Develop backend systems and maintain performance.,2/16/2025,6/17/2025
J0140,Data Scientist,Hanoi,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,2/10/2025,7/3/2025
J0141,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,3/16/2025,7/31/2025
J0142,Project Manager,Da Nang,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,3/25/2025,7/30/2025
J0143,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,2/1/2025,8/10/2025
J0144,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,3/31/2025,8/8/2025
J0145,Marketing Specialist,Hanoi,"Java, SQL, Communication",Develop backend systems and maintain performance.,4/1/2025,6/22/2025
J0146,Data Analyst,Ho Chi Minh,"Python, SQL, Power BI",Develop predictive models and report insights.,3/10/2025,7/13/2025
J0147,Data Analyst,Hanoi,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,1/1/2025,8/22/2025
J0148,Project Manager,Hanoi,"Java, SQL, Communication",Analyze data and visualize results.,3/5/2025,8/8/2025
J0149,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,3/5/2025,8/9/2025
J0150,Software Engineer,Hanoi,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,1/16/2025,6/6/2025
J0151,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,2/20/2025,6/18/2025
J0152,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,2/20/2025,7/2/2025
J0153,Data Scientist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,1/9/2025,7/12/2025
J0154,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,2/4/2025,6/12/2025
J0155,Data Analyst,Hanoi,"Python, SQL, Power BI",Design and execute marketing campaigns.,2/6/2025,9/9/2025
J0156,Project Manager,Ho Chi Minh,"Python, SQL, Power BI",Develop backend systems and maintain performance.,2/12/2025,7/20/2025
J0157,Project Manager,Da Nang,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,2/8/2025,7/5/2025
J0158,Data Scientist,Ho Chi Minh,"Python, SQL, Power BI",Design and execute marketing campaigns.,3/15/2025,7/9/2025
J0159,Software Engineer,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,2/13/2025,7/30/2025
J0160,Marketing Specialist,Ho Chi Minh,"Java, SQL, Communication",Develop backend systems and maintain performance.,2/6/2025,7/3/2025
J0161,Data Scientist,Hanoi,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,4/5/2025,6/6/2025
J0162,Data Scientist,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,2/4/2025,8/10/2025
J0163,Software Engineer,Hanoi,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,3/19/2025,7/28/2025
J0164,Data Analyst,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,1/9/2025,7/14/2025
J0165,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,2/13/2025,7/19/2025
J0166,Software Engineer,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,1/15/2025,9/4/2025
J0167,Data Analyst,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,2/26/2025,7/11/2025
J0168,Data Analyst,Da Nang,"Python, SQL, Power BI",Design and execute marketing campaigns.,2/10/2025,6/9/2025
J0169,Data Scientist,Da Nang,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,4/2/2025,6/7/2025
J0170,Data Analyst,Ho Chi Minh,"Java, SQL, Communication",Analyze data and visualize results.,3/22/2025,7/8/2025
J0171,Data Scientist,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/23/2025,7/11/2025
J0172,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,2/14/2025,8/1/2025
J0173,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,1/7/2025,7/27/2025
J0174,Marketing Specialist,Hanoi,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,2/20/2025,8/12/2025
J0175,Marketing Specialist,Ho Chi Minh,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/20/2025,7/21/2025
J0176,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,1/20/2025,8/21/2025
J0177,Data Scientist,Hanoi,"Java, SQL, Communication",Analyze data and visualize results.,2/16/2025,7/25/2025
J0178,Software Engineer,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,2/25/2025,8/16/2025
J0179,Data Analyst,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,3/25/2025,6/15/2025
J0180,Project Manager,Da Nang,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,3/8/2025,7/4/2025
J0181,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,2/25/2025,7/31/2025
J0182,Project Manager,Hanoi,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,2/17/2025,8/29/2025
J0183,Project Manager,Hanoi,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,2/1/2025,7/25/2025
J0184,Marketing Specialist,Da Nang,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,1/21/2025,6/28/2025
J0185,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Develop predictive models and report insights.,4/3/2025,6/27/2025
J0186,Project Manager,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,2/20/2025,8/13/2025
J0187,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/7/2025,8/4/2025
J0188,Project Manager,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/7/2025,7/5/2025
J0189,Software Engineer,Hanoi,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/11/2025,7/11/2025
J0190,Software Engineer,Hanoi,"Python, SQL, Power BI",Analyze data and visualize results.,3/3/2025,7/15/2025
J0191,Data Analyst,Da Nang,"Java, SQL, Communication",Design and execute marketing campaigns.,4/11/2025,7/8/2025
J0192,Data Scientist,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Manage project timelines and coordinate teams.,3/13/2025,6/26/2025
J0193,Project Manager,Hanoi,"Leadership, Project Planning, Excel",Analyze data and visualize results.,4/2/2025,7/13/2025
J0194,Data Analyst,Ho Chi Minh,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,1/15/2025,9/1/2025
J0195,Data Analyst,Hanoi,"Python, SQL, Power BI",Design and execute marketing campaigns.,1/27/2025,7/5/2025
J0196,Data Scientist,Hanoi,"Java, SQL, Communication",Design and execute marketing campaigns.,2/24/2025,9/3/2025
J0197,Software Engineer,Da Nang,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,3/14/2025,8/7/2025
J0198,Data Scientist,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,1/15/2025,6/13/2025
J0199,Data Analyst,Da Nang,"Machine Learning, Python, Data Visualization",Analyze data and visualize results.,3/29/2025,9/2/2025
J0200,Data Scientist,Da Nang,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,1/12/2025,6/21/2025
J0201,Software Engineer,Da Nang,"Marketing Strategy, Communication, Excel",Develop backend systems and maintain performance.,3/5/2025,6/5/2025
J0202,Data Analyst,Da Nang,"Leadership, Project Planning, Excel",Develop predictive models and report insights.,3/21/2025,7/24/2025
J0203,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,2/23/2025,7/28/2025
J0204,Project Manager,Da Nang,"Marketing Strategy, Communication, Excel",Analyze data and visualize results.,1/1/2025,8/6/2025
J0205,Project Manager,Da Nang,"Python, SQL, Power BI",Develop backend systems and maintain performance.,1/19/2025,7/29/2025
J0206,Data Scientist,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Manage project timelines and coordinate teams.,3/11/2025,8/18/2025
J0207,Data Scientist,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,1/12/2025,8/16/2025
J0208,Software Engineer,Ho Chi Minh,"Java, SQL, Communication",Design and execute marketing campaigns.,2/4/2025,7/17/2025
J0209,Data Analyst,Ho Chi Minh,"Python, SQL, Power BI",Develop predictive models and report insights.,2/19/2025,6/12/2025
J0210,Data Scientist,Hanoi,"Marketing Strategy, Communication, Excel",Design and execute marketing campaigns.,3/1/2025,8/16/2025
J0211,Data Analyst,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,3/6/2025,8/27/2025
J0212,Project Manager,Ho Chi Minh,"Leadership, Project Planning, Excel",Develop backend systems and maintain performance.,2/14/2025,6/3/2025
J0213,Data Analyst,Hanoi,"Marketing Strategy, Communication, Excel",Develop predictive models and report insights.,3/8/2025,7/19/2025
J0214,Marketing Specialist,Hanoi,"Leadership, Project Planning, Excel",Manage project timelines and coordinate teams.,4/11/2025,9/2/2025
J0215,Software Engineer,Da Nang,"Machine Learning, Python, Data Visualization",Develop backend systems and maintain performance.,2/1/2025,6/30/2025
J0216,Software Engineer,Da Nang,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,1/15/2025,8/20/2025
J0217,Data Analyst,Da Nang,"Machine Learning, Python, Data Visualization",Design and execute marketing campaigns.,1/12/2025,6/4/2025
J0218,Software Engineer,Da Nang,"Java, SQL, Communication",Manage project timelines and coordinate teams.,3/21/2025,7/11/2025
J0219,Data Analyst,Ho Chi Minh,"Machine Learning, Python, Data Visualization",Develop predictive models and report insights.,3/3/2025,8/14/2025
J0220,Data Analyst,Ho Chi Minh,"Python, SQL, Power BI",Manage project timelines and coordinate teams.,2/7/2025,6/5/2025
J0221,Project Manager,Da Nang,"Java, SQL, Communication",Analyze data and visualize results.,1/4/2025,8/28/2025
J0222,Data Analyst,Da Nang,"Leadership, Project Planning, Excel",Design and execute marketing campaigns.,3/4/2025,7/14/2025
J0223,Software Engineer,Ho Chi Minh,"Java, SQL, Communication",Manage project timelines and coordinate teams.,2/23/2025,8/11/2025
